透明标签_急涨总和=急涨：5
透明标签_急跌总和=急跌：5
透明标签_五种状态=状态：震荡无序
透明标签_急涨急跌比值=比值：数据不足
透明标签_绿色数量=1
透明标签_百分比=3%
透明标签_计次=2
透明标签_全绿得分=全绿0% 10 2
透明标签_比价最低得分=比价最低 0 0
透明标签_仓位得分=比价创新高 0 0
透明标签_急跌数量=急跌数量 计次 5 5
透明标签_差值结果=差值：0 数据不足
[超级列表框_首页开始]
1|BTC|-0.14|0|0|2025-12-03 08:21:29|126259.48|2025-10-07|-27.6|5.77|||20|91024.4169|72.6%|111.88%
2|ETH|-0.07|0|0|2025-12-03 08:21:29|4954.59|2025-08-25|-39.46|7.34|||13|2986.73521|61.84%|113.05%
3|XRP|-0.29|0|0|2025-12-03 08:21:29|3.8419|2018-01-04|-44.09|6.16|||17|2.13901|67.05%|116.26%
4|BNB|-0.21|0|0|2025-12-03 08:21:29|1372.88|2025-10-13|-36.15|6.17|||16|872.89577|63.37%|109.55%
5|SOL|-0.46|0|0|2025-12-03 08:21:29|294.91|2025-01-19|-53.19|8.7|||7|137.45634|54.25%|111.86%
6|LTC|-0.2|0|0|2025-12-03 08:21:29|413.2|2021-05-10|-79.95|6.58|||14|82.50704|60.86%|110.22%
7|DOGE|0|0|0|2025-12-03 08:21:29|0.7402|2021-05-08|-80.3|7.68|||12|0.14518|47.27%|110.09%
8|SUI|-0.6|1|0|2025-12-03 08:21:29|5.3537|2025-01-07|-69.49|21.18|||1|1.62669|40.86%|124.1%
9|TRX|0.07|0|0|2025-12-03 08:21:29|0.4461|2024-12-04|-37.01|1.55|||28|0.2798|76.36%|102.36%
10|TON|-0.27|0|0|2025-12-03 08:21:29|8.2833|2024-06-15|-80.96|4.87|||22|1.57063|46.3%|108.81%
11|ETC|-0.07|0|0|2025-12-03 08:21:29|176.51|2021-05-07|-92.3|4.6|||24|13.53128|55.64%|106.79%
12|BCH|-0.25|0|0|2025-12-03 08:21:29|4355.62|2017-12-20|-87.5|4.34|||25|541.93944|83.27%|120.38%
13|HBAR|-0.35|0|0|2025-12-03 08:21:29|0.5758|2021-09-16|-74.99|7.78|||11|0.14338|56.17%|115.83%
14|XLM|-0.31|0|0|2025-12-03 08:21:29|0.9381|2018-01-04|-72.88|8.67|||8|0.25332|60.65%|115.81%
15|FIL|-0.33|0|0|2025-12-03 08:21:30|237.61|2021-04-02|-99.36|2.84|||27|1.52363|57.35%|106.71%
16|ADA|-0.35|0|0|2025-12-03 08:21:30|3.099|2021-09-02|-86.05|12.14|||2|0.43037|45.11%|116.02%
17|LINK|-0.56|0|0|2025-12-03 08:21:30|52.9614|2021-05-10|-74.55|11.34|||3|13.42263|50.9%|114.81%
18|CRO|-0.27|0|0|2025-12-03 08:21:30|0.9732|2021-11-25|-88.83|6.57|||15|0.10824|28.06%|116.29%
19|DOT|-0.17|1|0|2025-12-03 08:21:30|54.9467|2021-11-05|-95.89|10.23|||6|2.24606|45.99%|113.6%
20|OKB|-0.19|0|0|2025-12-03 08:21:30|258.2|2025-08-22|-59.6|5.36|||21|103.87887|44.11%|110.8%
21|AAVE|-0.34|0|0|2025-12-03 08:21:30|706.32|2021-05-19|-73.1|10.92|||4|189.1662|58.63%|125.78%
22|UNI|-0.23|0|0|2025-12-03 08:21:30|45.0591|2021-05-03|-86.84|5.82|||19|5.90504|56.94%|109.95%
23|NEAR|-0.4|0|0|2025-12-03 08:21:30|20.5368|2022-01-15|-91.23|10.3|||5|1.79299|53.94%|112.57%
24|APT|-0.14|0|0|2025-12-03 08:21:30|28|2022-10-19|-92.95|6.08|||18|1.96615|35.79%|108.25%
25|CFX|-0.47|0|0|2025-12-03 08:21:30|1.7018|2021-03-27|-95.64|4.85|||23|0.07382|39.3%|108.02%
26|CRV|-0.54|2|1|2025-12-03 08:21:30|70.2347|2020-08-14|-99.45|-0.85|||29|0.38277|44.36%|104.95%
27|STX|-0.16|0|0|2025-12-03 08:21:30|3.8763|2024-04-02|-92.02|8.11|||9|0.30799|43.87%|110.68%
28|LDO|-0.18|0|2|2025-12-03 08:21:31|155.26|2021-07-01|-99.6|7.89|||10|0.61577|45.45%|111.27%
29|TAO|-0.44|1|2|2025-12-03 08:21:31|781.87|2024-04-12|-64.7|3.44|||26|274.86338|57.64%|107.58%
[超级列表框_首页结束]
