透明标签_急涨总和=急涨：0
透明标签_急跌总和=急跌：22
透明标签_五种状态=状态：震荡偏空
透明标签_急涨急跌比值=比值：999.00 ★★★
透明标签_绿色数量=9
透明标签_百分比=31%
透明标签_计次=6
透明标签_全绿得分=全绿0% 50 6
透明标签_比价最低得分=比价最低 5 1
透明标签_仓位得分=比价创新高 0 0
透明标签_急跌数量=急跌数量 计次 25 22
透明标签_差值结果=差值：-22 ★★★
[超级列表框_首页开始]
1|BTC|-0.06|0|0|2025-12-06 02:37:14|126259.48|2025-10-07|-29.29|-3.5|||5|88927.71972|70.93%|109.3%
2|ETH|-0.01|0|0|2025-12-06 02:37:15|4954.59|2025-08-25|-38.97|-4.36|||11|3011.90423|62.36%|114%
3|XRP|0|0|0|2025-12-06 02:37:15|3.8419|2018-01-04|-47.2|-4.32|||9|2.02069|63.34%|109.83%
4|BNB|-0.01|0|0|2025-12-06 02:37:15|1372.88|2025-10-13|-35.78|-2.48|||3|878.14225|63.75%|110.21%
5|SOL|0.03|0|0|2025-12-06 02:37:15|294.91|2025-01-19|-55.23|-6.98|||18|131.49859|51.9%|107.01%
6|LTC|-0.1|0|0|2025-12-06 02:37:16|413.2|2021-05-10|-80.55|-4.14|||6|80.0338|59.04%|106.92%
7|DOGE|0.32|0|1|2025-12-06 02:37:16|0.7402|2021-05-08|-81.32|-7.43|||21|0.13775|44.85%|104.46%
8|SUI|-0.15|0|3|2025-12-06 02:37:16|5.3537|2025-01-07|-70.76|-6.28|||16|1.55913|39.16%|118.94%
9|TRX|0.02|0|0|2025-12-06 02:37:16|0.4461|2024-12-04|-35.93|0.88|||1|0.28466|77.68%|104.14%
10|TON|0.03|0|1|2025-12-06 02:37:16|8.2833|2024-06-15|-81.25|-3.11|||4|1.54677|45.6%|107.16%
11|ETC|-0.03|0|1|2025-12-06 02:37:16|176.51|2021-05-07|-92.61|-5.6|||14|12.99823|53.45%|102.58%
12|BCH|-0.17|0|0|2025-12-06 02:37:16|4355.62|2017-12-20|-86.96|-1.22|||2|565.54085|86.9%|125.62%
13|HBAR|0.02|0|1|2025-12-06 02:37:16|0.5758|2021-09-16|-76.71|-4.49|||13|0.13356|52.32%|107.89%
14|XLM|-0.05|0|0|2025-12-06 02:37:16|0.9381|2018-01-04|-74.19|-4.27|||7|0.24114|57.73%|110.25%
15|FIL|0.05|0|1|2025-12-06 02:37:16|237.61|2021-04-02|-99.38|-6.43|||17|1.45921|54.93%|102.19%
16|ADA|0.05|0|1|2025-12-06 02:37:17|3.099|2021-09-02|-86.65|-7.18|||19|0.41215|43.2%|111.11%
17|LINK|-0.02|0|2|2025-12-06 02:37:17|52.9614|2021-05-10|-74.43|-5.6|||15|13.49048|51.16%|115.39%
18|CRO|-0.16|0|0|2025-12-06 02:37:17|0.9732|2021-11-25|-89.4|-4.36|||12|0.10279|26.65%|110.43%
19|DOT|0.17|0|2|2025-12-06 02:37:17|54.9467|2021-11-05|-96.16|-8.77|||27|2.10246|43.05%|106.33%
20|OKB|-0.04|0|1|2025-12-06 02:37:17|258.2|2025-08-22|-60.12|-4.27|||8|102.57324|43.55%|109.41%
21|AAVE|-0.27|0|1|2025-12-06 02:37:17|706.32|2021-05-19|-73.9|-4.35|||10|183.64225|56.92%|122.11%
22|UNI|-0.68|0|1|2025-12-06 02:37:17|45.0591|2021-05-03|-87.79|-8.29|||25|5.47939|52.83%|102.03%
23|NEAR|-0.28|0|0|2025-12-06 02:37:17|20.5368|2022-01-15|-91.84|-7.27|||20|1.66999|50.24%|104.84%
24|APT|0.07|0|1|2025-12-06 02:37:17|28|2022-10-19|-93.78|-12.1|||29|1.73472|31.58%|100.07%
25|CFX|-0.16|0|1|2025-12-06 02:37:17|1.7018|2021-03-27|-95.87|-7.81|||24|0.06994|37.24%|102.34%
26|CRV|-0.62|0|2|2025-12-06 02:37:17|70.2347|2020-08-14|-99.45|-8.55|||26|0.38128|44.19%|104.54%
27|STX|-0.07|0|0|2025-12-06 02:37:17|3.8763|2024-04-02|-92.51|-7.51|||22|0.28935|41.21%|103.98%
28|LDO|-0.43|0|2|2025-12-06 02:37:17|155.26|2021-07-01|-99.63|-10.89|||28|0.56586|41.76%|102.26%
29|TAO|-0.5|0|0|2025-12-06 02:37:17|781.87|2024-04-12|-64.92|-7.53|||23|273.2169|57.3%|106.93%
[超级列表框_首页结束]
